,member_id,display_name,list_name,full_title,address as,constituency,member_party,gender
451,4618,Liz Twist,"Twist, Liz",Liz Twist MP,Liz Twist,Blaydon,Labour,F
452,4619,Mr Alister Jack,"Jack, Mr Alister",Rt Hon Alister Jack MP,Mr Jack,Dumfries and Galloway,Conservative,M
453,4620,Ellie Reeves,"Reeves, Ellie",Ellie Reeves MP,Ellie Reeves,Lewisham West and Penge,Labour,F
454,4621,Darren Jones,"Jones, Darren",Darren Jones MP,Darren Jones,Bristol North West,Labour,M
455,4623,Tonia Antoniazzi,"Antoniazzi, Tonia",Tonia Antoniazzi MP,Tonia Antoniazzi,Gower,Labour,F
456,4627,Douglas Ross,"Ross, Douglas",Douglas Ross MP,Douglas Ross,Moray,Conservative,M
457,4630,Ben Lake,"Lake, Ben",Ben Lake MP,Ben Lake,Ceredigion,Plaid Cymru,M
458,4631,Sarah Jones,"Jones, Sarah",Sarah Jones MP,Sarah Jones,Croydon Central,Labour,F
459,4632,Anna McMorrin,"McMorrin, Anna",Anna McMorrin MP,Anna McMorrin,Cardiff North,Labour,F
460,4633,Paul Girvan,"Girvan, Paul",Paul Girvan MP,Paul Girvan,South Antrim,Democratic Unionist Party,M
461,4634,Christine Jardine,"Jardine, Christine",Christine Jardine MP,Christine Jardine,Edinburgh West,Liberal Democrat,F
462,4635,Eddie Hughes,"Hughes, Eddie",Eddie Hughes MP,Eddie Hughes,Walsall North,Conservative,M
463,4636,Chris Hazzard,"Hazzard, Chris",Chris Hazzard MP,,South Down,Sinn Féin,M
464,4638,Mr Tanmanjeet Singh Dhesi,"Dhesi, Mr Tanmanjeet Singh",Mr Tanmanjeet Singh Dhesi MP,Mr Dhesi,Slough,Labour,M
465,4639,Bim Afolami,"Afolami, Bim",Bim Afolami MP,Bim Afolami,Hitchin and Harpenden,Conservative,M
466,4640,David Linden,"Linden, David",David Linden MP,David Linden,Glasgow East,Scottish National Party,M
467,4641,Alex Norris,"Norris, Alex",Alex Norris MP,Alex Norris,Nottingham North,Labour (Co-op),M
468,4643,Jack Brereton,"Brereton, Jack",Jack Brereton MP,Jack Brereton,Stoke-on-Trent South,Conservative,M
469,4645,Emma Hardy,"Hardy, Emma",Emma Hardy MP,Emma Hardy,Kingston upon Hull West and Hessle,Labour,F
470,4647,Julia Lopez,"Lopez, Julia",Julia Lopez MP,Julia Lopez,Hornchurch and Upminster,Conservative,F
471,4651,Dan Carden,"Carden, Dan",Dan Carden MP,Dan Carden,"Liverpool, Walton",Labour,M
472,4652,Lee Rowley,"Rowley, Lee",Lee Rowley MP,Lee Rowley,North East Derbyshire,Conservative,M
473,4653,Stephen Morgan,"Morgan, Stephen",Stephen Morgan MP,,Portsmouth South,Labour,M
474,4654,Matt Rodda,"Rodda, Matt",Matt Rodda MP,Matt Rodda,Reading East,Labour,M
475,4655,Sir Simon Clarke,"Clarke, Sir Simon",Rt Hon Sir Simon Clarke MP,Sir Simon Clarke,Middlesbrough South and East Cleveland,Conservative,M
476,4656,Layla Moran,"Moran, Layla",Layla Moran MP,Layla Moran,Oxford West and Abingdon,Liberal Democrat,F
477,4657,Anneliese Dodds,"Dodds, Anneliese",Anneliese Dodds MP,Anneliese Dodds,Oxford East,Labour (Co-op),F
478,4658,Alex Sobel,"Sobel, Alex",Alex Sobel MP,Alex Sobel,Leeds North West,Labour (Co-op),M
479,4659,Andrew Lewer,"Lewer, Andrew",Andrew Lewer MP,Andrew Lewer,Northampton South,Conservative,M
480,4663,Ben Bradley,"Bradley, Ben",Ben Bradley MP,Ben Bradley,Mansfield,Conservative,M
481,4667,Mike Amesbury,"Amesbury, Mike",Mike Amesbury MP,Mike Amesbury,Weaver Vale,Labour,M
482,4668,Rachel Maclean,"Maclean, Rachel",Rachel Maclean MP,Rachel Maclean,Redditch,Conservative,F
483,4669,Damien Moore,"Moore, Damien",Damien Moore MP,Damien Moore,Southport,Conservative,M
484,4671,Afzal Khan,"Khan, Afzal",Afzal Khan MP,Afzal Khan,"Manchester, Gorton",Labour,M
485,4674,Vicky Ford,"Ford, Vicky",Rt Hon Vicky Ford MP,Vicky Ford,Chelmsford,Conservative,F
486,4676,Marsha De Cordova,"De Cordova, Marsha",Marsha De Cordova MP,Marsha De Cordova,Battersea,Labour,F
487,4677,Giles Watling,"Watling, Giles",Giles Watling MP,Giles Watling,Clacton,Conservative,M
488,4679,Neil O'Brien,"O'Brien, Neil",Neil O'Brien MP,Neil O'Brien,Harborough,Conservative,M
489,4680,Gillian Keegan,"Keegan, Gillian",Gillian Keegan MP,Gillian Keegan,Chichester,Conservative,F
490,4681,Bob Seely,"Seely, Bob",Bob Seely MP,,Isle of Wight,Conservative,M
491,4682,Luke Pollard,"Pollard, Luke",Luke Pollard MP,Luke Pollard,"Plymouth, Sutton and Devonport",Labour (Co-op),M
492,4697,Órfhlaith Begley,"Begley, Órfhlaith",Órfhlaith Begley MP,,West Tyrone,Sinn Féin,F
493,4698,Janet Daby,"Daby, Janet",Janet Daby MP,,Lewisham East,Labour,F
494,4716,Ruth Jones,"Jones, Ruth",Ruth Jones MP,,Newport West,Labour,F
495,4735,Stephen Flynn,"Flynn, Stephen",Stephen Flynn MP,,Aberdeen South,Scottish National Party,M
496,4736,Dave Doogan,"Doogan, Dave",Dave Doogan MP,,Angus,Scottish National Party,M
497,4737,Dehenna Davison,"Davison, Dehenna",Dehenna Davison MP,,Bishop Auckland,Conservative,F
498,4738,Alyn Smith,"Smith, Alyn",Alyn Smith MP,,Stirling,Scottish National Party,M
499,4739,Jerome Mayhew,"Mayhew, Jerome",Jerome Mayhew MP,,Broadland,Conservative,M
500,4740,Allan Dorans,"Dorans, Allan",Allan Dorans MP,,"Ayr, Carrick and Cumnock",Scottish National Party,M
501,4741,Nickie Aiken,"Aiken, Nickie",Nickie Aiken MP,,Cities of London and Westminster,Conservative,F
502,4742,Stuart Anderson,"Anderson, Stuart",Stuart Anderson MP,,Wolverhampton South West,Conservative,M
503,4743,Lee Anderson,"Anderson, Lee",Lee Anderson MP,,Ashfield,Conservative,M
504,4744,Simon Fell,"Fell, Simon",Simon Fell MP,,Barrow and Furness,Conservative,M
505,4745,Rob Butler,"Butler, Rob",Rob Butler MP,Rob Butler ,Aylesbury,Conservative,M
506,4746,Robin Millar,"Millar, Robin",Robin Millar MP,,Aberconwy,Conservative,M
507,4747,Tahir Ali,"Ali, Tahir",Tahir Ali MP,,"Birmingham, Hall Green",Labour,M
508,4748,Steven Bonnar,"Bonnar, Steven",Steven Bonnar MP,,"Coatbridge, Chryston and Bellshill",Scottish National Party,M
509,4749,Ian Levy,"Levy, Ian",Ian Levy MP,,Blyth Valley,Conservative,M
510,4750,Jane Stevenson,"Stevenson, Jane",Jane Stevenson MP,,Wolverhampton North East,Conservative,F
511,4751,Chris Loder,"Loder, Chris",Chris Loder MP,,West Dorset,Conservative,M
512,4752,Mark Jenkinson,"Jenkinson, Mark",Mark Jenkinson MP,,Workington,Conservative,M
513,4753,Mary Kelly Foy,"Foy, Mary Kelly",Mary Kelly Foy MP,,City of Durham,Labour,F
514,4754,Peter Gibson,"Gibson, Peter",Peter Gibson MP,,Darlington,Conservative,M
515,4755,Mick Whitley,"Whitley, Mick",Mick Whitley MP,,Birkenhead,Labour,M
516,4756,Brendan Clarke-Smith,"Clarke-Smith, Brendan",Brendan Clarke-Smith MP,,Bassetlaw,Conservative,M
517,4757,Shaun Bailey,"Bailey, Shaun",Shaun Bailey MP,,West Bromwich West,Conservative,M
518,4758,Cherilyn Mackrory,"Mackrory, Cherilyn",Cherilyn Mackrory MP,,Truro and Falmouth,Conservative,F
519,4759,Joy Morrissey,"Morrissey, Joy",Joy Morrissey MP,,Beaconsfield,Conservative,F
520,4760,Gary Sambrook,"Sambrook, Gary",Gary Sambrook MP,,"Birmingham, Northfield",Conservative,M
521,4761,David Johnston,"Johnston, David",David Johnston MP,,Wantage,Conservative,M
522,4762,Anthony Mangnall,"Mangnall, Anthony",Anthony Mangnall MP,,Totnes,Conservative,M
523,4763,Fay Jones,"Jones, Fay",Fay Jones MP,,Brecon and Radnorshire,Conservative,F
524,4764,Bell Ribeiro-Addy,"Ribeiro-Addy, Bell",Bell Ribeiro-Addy MP,,Streatham,Labour,F
525,4765,Wendy Chamberlain,"Chamberlain, Wendy",Wendy Chamberlain MP,,North East Fife,Liberal Democrat,F
526,4766,Dr Jamie Wallis,"Wallis, Dr Jamie",Dr Jamie Wallis MP,,Bridgend,Conservative,M
527,4767,James Sunderland,"Sunderland, James",James Sunderland MP,,Bracknell,Conservative,M
528,4768,Julie Marson,"Marson, Julie",Julie Marson MP,,Hertford and Stortford,Conservative,F
529,4769,Daisy Cooper,"Cooper, Daisy",Daisy Cooper MP,,St Albans,Liberal Democrat,F
530,4770,Amy Callaghan,"Callaghan, Amy",Amy Callaghan MP,,East Dunbartonshire,Scottish National Party,F
531,4771,Tom Hunt,"Hunt, Tom",Tom Hunt MP,,Ipswich,Conservative,M
532,4772,Kenny MacAskill,"MacAskill, Kenny",Kenny MacAskill MP,,East Lothian,Alba Party,M
533,4773,Kate Kniveton,"Kniveton, Kate",Kate Kniveton MP,,Burton,Conservative,F
534,4774,Mark Fletcher,"Fletcher, Mark",Mark Fletcher MP,,Bolsover,Conservative,M
535,4775,Elliot Colburn,"Colburn, Elliot",Elliot Colburn MP,,Carshalton and Wallington,Conservative,M
536,4776,Munira Wilson,"Wilson, Munira",Munira Wilson MP,,Twickenham,Liberal Democrat,F
537,4777,Sarah Owen,"Owen, Sarah",Sarah Owen MP,,Luton North,Labour,F
538,4778,Greg Smith,"Smith, Greg",Greg Smith MP,,Buckingham,Conservative,M
539,4779,Taiwo Owatemi,"Owatemi, Taiwo",Taiwo Owatemi MP,,Coventry North West,Labour,F
540,4780,Laura Trott,"Trott, Laura",Laura Trott MP,,Sevenoaks,Conservative,F
541,4781,Dr Luke Evans,"Evans, Dr Luke",Dr Luke Evans MP,,Bosworth,Conservative,M
542,4782,Neale Hanvey,"Hanvey, Neale",Neale Hanvey MP,,Kirkcaldy and Cowdenbeath,Alba Party,M
543,4783,Kate Osborne,"Osborne, Kate",Kate Osborne MP,,Jarrow,Labour,F
544,4784,Duncan Baker,"Baker, Duncan",Duncan Baker MP,,North Norfolk,Conservative,M
545,4785,Dr Ben Spencer,"Spencer, Dr Ben",Dr Ben Spencer MP,,Runnymede and Weybridge,Conservative,M
546,4786,Zarah Sultana,"Sultana, Zarah",Zarah Sultana MP,,Coventry South,Labour,F
547,4787,James Wild,"Wild, James",James Wild MP,,North West Norfolk,Conservative,M
548,4788,Fleur Anderson,"Anderson, Fleur",Fleur Anderson MP,,Putney,Labour,F
549,4789,Marco Longhi,"Longhi, Marco",Marco Longhi MP,,Dudley North,Conservative,M
550,4790,Apsana Begum,"Begum, Apsana",Apsana Begum MP,,Poplar and Limehouse,Labour,F
551,4791,Andy Carter,"Carter, Andy",Andy Carter MP,,Warrington South,Conservative,M
552,4792,Paul Bristow,"Bristow, Paul",Paul Bristow MP,,Peterborough,Conservative,M
553,4793,Scott Benton,"Benton, Scott",Scott Benton MP,,Blackpool South,Independent,M
554,4794,Darren Henry,"Henry, Darren",Darren Henry MP,,Broxtowe,Conservative,M
555,4795,Mrs Natalie Elphicke,"Elphicke, Mrs Natalie",Mrs Natalie Elphicke MP,,Dover,Conservative,F
556,4796,Richard Thomson,"Thomson, Richard",Richard Thomson MP,,Gordon,Scottish National Party,M
557,4797,James Murray,"Murray, James",James Murray MP,,Ealing North,Labour (Co-op),M
558,4798,Gareth Bacon,"Bacon, Gareth",Gareth Bacon MP,Gareth Bacon,Orpington,Conservative,M
559,4799,Charlotte Nichols,"Nichols, Charlotte",Charlotte Nichols MP,,Warrington North,Labour,F
560,4800,Simon Baynes,"Baynes, Simon",Simon Baynes MP,,Clwyd South,Conservative,M
561,4801,Anthony Browne,"Browne, Anthony",Anthony Browne MP,,South Cambridgeshire,Conservative,M
562,4802,Suzanne Webb,"Webb, Suzanne",Suzanne Webb MP,,Stourbridge,Conservative,F
563,4803,Paul Holmes,"Holmes, Paul",Paul Holmes MP,,Eastleigh,Conservative,M
564,4804,Mr Gagan Mohindra,"Mohindra, Mr Gagan",Mr Gagan Mohindra MP,,South West Hertfordshire,Conservative,M
565,4805,Alicia Kearns,"Kearns, Alicia",Alicia Kearns MP,,Rutland and Melton,Conservative,F
566,4806,Claire Coutinho,"Coutinho, Claire",Claire Coutinho MP,,East Surrey,Conservative,F
567,4807,Mark Eastwood,"Eastwood, Mark",Mark Eastwood MP,,Dewsbury,Conservative,M
568,4808,Ruth Edwards,"Edwards, Ruth",Ruth Edwards MP,,Rushcliffe,Conservative,F
569,4809,Beth Winter,"Winter, Beth",Beth Winter MP,,Cynon Valley,Labour,F
570,4810,Mr Rob Roberts,"Roberts, Mr Rob",Mr Rob Roberts MP,Mr Roberts,Delyn,Independent,M
571,4811,Navendu Mishra,"Mishra, Navendu",Navendu Mishra MP,,Stockport,Labour,M
572,4812,Dean Russell,"Russell, Dean",Dean Russell MP,,Watford,Conservative,M
573,4813,Mr Richard Holden,"Holden, Mr Richard",Mr Richard Holden MP,,North West Durham,Conservative,M
574,4814,Jonathan Gullis,"Gullis, Jonathan",Jonathan Gullis MP,,Stoke-on-Trent North,Conservative,M
575,4815,Mark Logan,"Logan, Mark",Mark Logan MP,,Bolton North East,Conservative,M
576,4816,Miss Sarah Dines,"Dines, Miss Sarah",Miss Sarah Dines MP,,Derbyshire Dales,Conservative,F
577,4817,Jo Gideon,"Gideon, Jo",Jo Gideon MP,,Stoke-on-Trent Central,Conservative,F
578,4818,Saqib Bhatti,"Bhatti, Saqib",Saqib Bhatti MP,,Meriden,Conservative,M
579,4819,Theo Clarke,"Clarke, Theo",Theo Clarke MP,,Stafford,Conservative,F
580,4820,Abena Oppong-Asare,"Oppong-Asare, Abena",Abena Oppong-Asare MP,,Erith and Thamesmead,Labour,F
581,4821,Felicity Buchan,"Buchan, Felicity",Felicity Buchan MP,,Kensington,Conservative,F
582,4822,Feryal Clark,"Clark, Feryal",Feryal Clark MP,,Enfield North,Labour,F
583,4823,John Finucane,"Finucane, John",John Finucane MP,,Belfast North,Sinn Féin,M
584,4824,Kim Johnson,"Johnson, Kim",Kim Johnson MP,,"Liverpool, Riverside",Labour,F
585,4825,Jacob Young,"Young, Jacob",Jacob Young MP,,Redcar,Conservative,M
586,4826,Laura Farris,"Farris, Laura",Laura Farris MP,,Newbury,Conservative,F
587,4827,Claire Hanna,"Hanna, Claire",Claire Hanna MP,,Belfast South,Social Democratic & Labour Party,F
588,4828,Paula Barker,"Barker, Paula",Paula Barker MP,,"Liverpool, Wavertree",Labour,F
589,4829,Sam Tarry,"Tarry, Sam",Sam Tarry MP,,Ilford South,Labour,M
590,4830,Paul Howell,"Howell, Paul",Paul Howell MP,,Sedgefield,Conservative,M
591,4831,Ian Byrne,"Byrne, Ian",Ian Byrne MP,,"Liverpool, West Derby",Labour,M
592,4832,Nick Fletcher,"Fletcher, Nick",Nick Fletcher MP,,Don Valley,Conservative,M
593,4833,Antony Higginbotham,"Higginbotham, Antony",Antony Higginbotham MP,,Burnley,Conservative,M
594,4834,Katherine Fletcher,"Fletcher, Katherine",Katherine Fletcher MP,,South Ribble,Conservative,F
595,4835,Chris Clarkson,"Clarkson, Chris",Chris Clarkson MP,,Heywood and Middleton,Conservative,M
596,4836,Ben Everitt,"Everitt, Ben",Ben Everitt MP,,Milton Keynes North,Conservative,M
597,4837,Aaron Bell,"Bell, Aaron",Aaron Bell MP,,Newcastle-under-Lyme,Conservative,M
598,4838,Sara Britcliffe,"Britcliffe, Sara",Sara Britcliffe MP,,Hyndburn,Conservative,F
599,4839,Jane Hunt,"Hunt, Jane",Jane Hunt MP,,Loughborough,Conservative,F
600,4840,Angela Richardson,"Richardson, Angela",Angela Richardson MP,,Guildford,Conservative,F
601,4842,Sally-Ann Hart,"Hart, Sally-Ann",Sally-Ann Hart MP,,Hastings and Rye,Conservative,F
602,4843,James Grundy,"Grundy, James",James Grundy MP,,Leigh,Conservative,M
603,4844,Matt Vickers,"Vickers, Matt",Matt Vickers MP,,Stockton South,Conservative,M
604,4845,Tom Randall,"Randall, Tom",Tom Randall MP,,Gedling,Conservative,M
605,4846,Colum Eastwood,"Eastwood, Colum",Colum Eastwood MP,,Foyle,Social Democratic & Labour Party,M
606,4847,Siobhan Baillie,"Baillie, Siobhan",Siobhan Baillie MP,,Stroud,Conservative,F
607,4848,Claudia Webbe,"Webbe, Claudia",Claudia Webbe MP,,Leicester East,Independent,F
608,4849,Alex Davies-Jones,"Davies-Jones, Alex",Alex Davies-Jones MP,,Pontypridd,Labour,F
609,4850,Gareth Davies,"Davies, Gareth",Gareth Davies MP,,Grantham and Stamford,Conservative,M
610,4851,Lia Nici,"Nici, Lia",Lia Nici MP,Lia Nici,Great Grimsby,Conservative,F
611,4852,Robert Largan,"Largan, Robert",Robert Largan MP,,High Peak,Conservative,M
612,4853,Dr Neil Hudson,"Hudson, Dr Neil",Dr Neil Hudson MP,,Penrith and The Border,Conservative,M
613,4854,James Daly,"Daly, James",James Daly MP,,Bury North,Conservative,M
614,4855,Sarah Atherton,"Atherton, Sarah",Sarah Atherton MP,,Wrexham,Conservative,F
615,4856,Stephen Farry,"Farry, Stephen",Stephen Farry MP,,North Down,Alliance,M
616,4857,Carla Lockhart,"Lockhart, Carla",Carla Lockhart MP,,Upper Bann,Democratic Unionist Party,F
617,4858,Danny Kruger,"Kruger, Danny",Danny Kruger MP,,Devizes,Conservative,M
618,4859,Virginia Crosbie,"Crosbie, Virginia",Virginia Crosbie MP,,Ynys Môn,Conservative,F
619,4860,Dr Kieran Mullan,"Mullan, Dr Kieran",Dr Kieran Mullan MP,,Crewe and Nantwich,Conservative,M
620,4861,Robbie Moore,"Moore, Robbie",Robbie Moore MP,,Keighley,Conservative,M
621,4862,Simon Jupp,"Jupp, Simon",Simon Jupp MP,,East Devon,Conservative,M
622,4863,Selaine Saxby,"Saxby, Selaine",Selaine Saxby MP,,North Devon,Conservative,F
623,4864,Olivia Blake,"Blake, Olivia",Olivia Blake MP,,"Sheffield, Hallam",Labour,F
624,4865,Miriam Cates,"Cates, Miriam",Miriam Cates MP,,Penistone and Stocksbridge,Conservative,F
625,4866,Alexander Stafford,"Stafford, Alexander",Alexander Stafford MP,,Rother Valley,Conservative,M
626,4867,Holly Mumby-Croft,"Mumby-Croft, Holly",Holly Mumby-Croft MP,,Scunthorpe,Conservative,F
627,4868,Nicola Richards,"Richards, Nicola",Nicola Richards MP,,West Bromwich East,Conservative,F
628,4869,Nadia Whittome,"Whittome, Nadia",Nadia Whittome MP,,Nottingham East,Labour,F
629,4870,Florence Eshalomi,"Eshalomi, Florence",Florence Eshalomi MP,,Vauxhall,Labour (Co-op),F
630,4871,Christian Wakeford,"Wakeford, Christian",Christian Wakeford MP,,Bury South,Labour,M
631,4872,David Simmonds,"Simmonds, David",David Simmonds MP,,"Ruislip, Northwood and Pinner",Conservative,M
632,4873,Rachel Hopkins,"Hopkins, Rachel",Rachel Hopkins MP,,Luton South,Labour,F
633,4874,Andrew Griffith,"Griffith, Andrew",Andrew Griffith MP,,Arundel and South Downs,Conservative,M
634,4916,Jill Mortimer,"Mortimer, Jill",Jill Mortimer MP,,Hartlepool,Conservative,F
635,4917,Ms Anum Qaisar,"Qaisar, Ms Anum",Ms Anum Qaisar MP,,Airdrie and Shotts,Scottish National Party,F
636,4918,Sarah Green,"Green, Sarah",Sarah Green MP,,Chesham and Amersham,Liberal Democrat,F
637,4923,Kim Leadbeater,"Leadbeater, Kim",Kim Leadbeater MP,,Batley and Spen,Labour,F
638,4932,Mr Louie French,"French, Mr Louie",Mr Louie French MP,,Old Bexley and Sidcup,Conservative,M
639,4934,Helen Morgan,"Morgan, Helen",Helen Morgan MP,,North Shropshire,Liberal Democrat,F
640,4936,Anna Firth,"Firth, Anna",Anna Firth MP,,Southend West,Conservative,F
641,4938,Mrs Paulette Hamilton,"Hamilton, Mrs Paulette",Mrs Paulette Hamilton MP,,"Birmingham, Erdington",Labour,F
642,4942,Richard Foord,"Foord, Richard",Richard Foord MP,,Tiverton and Honiton,Liberal Democrat,M
643,4943,Simon Lightwood,"Lightwood, Simon",Simon Lightwood MP,,Wakefield,Labour (Co-op),M
644,4976,Samantha Dixon,"Dixon, Samantha",Samantha Dixon MP,,City of Chester,Labour,F
645,4979,Andrew Western,"Western, Andrew",Andrew Western MP,,Stretford and Urmston,Labour,M
646,4981,Ashley Dalton,"Dalton, Ashley",Ashley Dalton MP,,West Lancashire,Labour,F
647,4993,Keir Mather,"Mather, Keir",Keir Mather MP,,Selby and Ainsty,Labour,M
648,4994,Steve Tuckwell,"Tuckwell, Steve",Steve Tuckwell MP,,Uxbridge and South Ruislip,Conservative,M
649,4995,Sarah Dyke,"Dyke , Sarah",Sarah Dyke  MP,,Somerton and Frome,Liberal Democrat,F
